WEASEL PROGRAM GENERATION LOG
========================================
Target: METHINKS IT IS LIKE A WEASEL
Target length (perfect score): 28

Gen     0 | Score  0/28 | PUNNWXMFSTXDGZTKOURNDZDZBYFK
Gen     1 | Score  1/28 | PUQNWXMFSDXDGZTKIURNDZDZBYFK
Gen     2 | Score  2/28 | PUQNWXMFSDXDJZTKIURNDZDEBYFK
Gen     3 | Score  3/28 | PUQNWXMFSDXDJZTKIURNDZDEBYEK
Gen     4 | Score  4/28 | PUQNWXYFSDXDJZTKIURNDRDEBSEK
Gen     5 | Score  5/28 | PEQNWXYFSDXDJZTKIURZDRDEBSET
Gen     6 | Score  6/28 | PEPNWXYFSDXDJSTKIURZDRDEBSET
Gen     7 | Score  8/28 | PEPHWXYFSDX JSTKIURZDRDEBSET
Gen     8 | Score  9/28 | PETHWXYFSDX JSTKIURZDRDEBSET
Gen     9 | Score  9/28 | PETHWXYFSDX JSTKIURZDRDEBSET
Gen    10 | Score 10/28 | PETHWXYSSDX JSTKIURZDRDEBSET
Gen    11 | Score 11/28 | PETHWNYSSDX PSTKIURZMRDEBSET
Gen    12 | Score 12/28 | PETHWNYSSDX PSTIIURZMRWEBSET
Gen    13 | Score 13/28 | PETHWNYSJDT PSTIIURZMRWEBSET
Gen    14 | Score 14/28 | PETHWNYSJDT PSTIITRZM WEBSET
Gen    15 | Score 15/28 | PETHFNYXJDT ISTIITRZA WEBSET
Gen    16 | Score 15/28 | PETHFNYXJDT ISTIITRZA WEBSET
Gen    17 | Score 16/28 | PETHANYX DT ISTIITRZA WEBSET
Gen    18 | Score 16/28 | PETHANYX DT ISTIITRZA WEBSET
Gen    19 | Score 17/28 | RETHANYX IT ISTIIFRZA WEBSET
Gen    20 | Score 18/28 | RETHANYX IT IS IIFRZA WEBSET
Gen    21 | Score 19/28 | RETHANYX IT IS IIFR A WEBSET
Gen    22 | Score 20/28 | RETHANYS IT IS IIFR A WEBSET
Gen    23 | Score 20/28 | RETHANYS IT IS IIFR A WEBSET
Gen    24 | Score 20/28 | RETHANYS IT IS IIFR A WEBSET
Gen    25 | Score 21/28 | RETHINYS IT IS IIFR A WEBSET
Gen    26 | Score 22/28 | RETHINYS IT IS IIFR A WEBSEL
Gen    27 | Score 22/28 | RETHINYS IT IS IIFR A WEBSEL
Gen    28 | Score 22/28 | RETHINYS IT IS IIFR A WEBSEL
Gen    29 | Score 22/28 | RETHINYS IT IS IIFR A WEBSEL
Gen    30 | Score 22/28 | RETHINYS IT IS IIFR A WEBSEL
Gen    31 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    32 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    33 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    34 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    35 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    36 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    37 | Score 23/28 | RETHINYS YT IS LIZE A WEBSEL
Gen    38 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    39 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    40 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    41 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    42 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    43 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    44 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    45 | Score 24/28 | RETHINYS YT IS LIZE A WEASEL
Gen    46 | Score 25/28 | RETHINKS YT IS LIZE A WEASEL
Gen    47 | Score 26/28 | RETHINKS IT IS LIZE A WEASEL
Gen    48 | Score 26/28 | RETHINKS IT IS LIZE A WEASEL
Gen    49 | Score 26/28 | RETHINKS IT IS LIZE A WEASEL
Gen    50 | Score 26/28 | RETHINKS IT IS LIZE A WEASEL
Gen    51 | Score 26/28 | RETHINKS IT IS LIZE A WEASEL
Gen    52 | Score 26/28 | RETHINKS IT IS LIZE A WEASEL
Gen    53 | Score 27/28 | RETHINKS IT IS LIKE A WEASEL
Gen    54 | Score 27/28 | RETHINKS IT IS LIKE A WEASEL
Gen    55 | Score 27/28 | RETHINKS IT IS LIKE A WEASEL
Gen    56 | Score 27/28 | RETHINKS IT IS LIKE A WEASEL
Gen    57 | Score 27/28 | RETHINKS IT IS LIKE A WEASEL
Gen    58 | Score 27/28 | RETHINKS IT IS LIKE A WEASEL
Gen    59 | Score 28/28 | METHINKS IT IS LIKE A WEASEL
